EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08100223	ILAlg-02-01, 00819 = AE 1951, 00221 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	171	230	171	230	nomen singulare;  officium/professio;  tituli sepulcrales;  viri	D(is) M(anibus) / Ursus / sc(a)enicus / stupidus / IIII col(oniarum) / v(ixit) a(nnos) XXV	D M Ursus scenicus stupidus IIII col v a XXV	Dis Manibus Ursus scaenicus stupidus IIII coloniarum vixit annos XXV	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS-08100223.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021442;1ae1951-65			171 to 230
EDCS-08100225	ILAlg-02-01, 00824	Numidia	Constantine / Bordj Saguiet er Roum / Cirta						?			lapis	textus non intellegitur	36.364519	6.608260						
EDCS-08100226	ILAlg-02-01, 00839	Numidia	Constantine / Bordj Saguiet er Roum / Cirta						?			lapis	textus non intellegitur	36.364519	6.608260						
EDCS-08100227	ILAlg-02-01, 00844	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					mulieres;  tituli operum;  tituli sepulcrales;  tria nomina;  viri	Accia Lucio/sa v(ixit) a(nnos) LXX / Q(uintus) Cassius Campa/nianus maritae / dulcissimae do/mum aeterna(m) / fecit	Accia Luciosa v a LXX Q Cassius Campanianus maritae dulcissimae domum aeterna fecit	Accia Luciosa vixit annos LXX Quintus Cassius Campanianus maritae dulcissimae domum aeternam fecit	lapis		36.364519	6.608260						
EDCS-08100228	ILAlg-02-01, 00854	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					viri	] (A)elius V(?)/[3]O Alexan/dre [	elius V O Alexandre	Aelius V O Alexandre	lapis		36.364519	6.608260						
EDCS-08100229	ILAlg-02-01, 00862 = ILAlg-02-01, 01998 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	tituli sepulcrales;  tria nomina;  viri	Aemilius Felix / filius carissimus / v(ixit) a(nnos) III	Aemilius Felix filius carissimus v a III	Aemilius Felix filius carissimus vixit annos III	lapis		36.364519	6.608260						-30 to 117
EDCS-08100230	ILAlg-02-01, 00863 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	tituli sepulcrales;  tria nomina;  viri	M(arcus) Aemili/us Q(uinti) f(ilius) Fun/danus [	M Aemilius Q f Fundanus	Marcus Aemilius Quinti filius Fundanus	lapis		36.364519	6.608260						-30 to 117
EDCS-08100231	ILAlg-02-01, 00866 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	mulieres;  tituli sepulcrales;  tria nomina;  viri	Q(uintus) (A)emilius Qu(i)/etus v(ixit) a(nnos) XXXV / (A)emilia Maxi/ma v(ixit) a(nnos) LXXV / h(ic) s(ita) e(st) o(ssa) t(ibi) b(ene) q(uiescant)	Q emilius Quetus v a XXXV emilia Maxima v a LXXV h s e o t b q	Quintus Aemilius Quietus vixit annos XXXV Aemilia Maxima vixit annos LXXV hic sita est ossa tibi bene quiescant	lapis		36.364519	6.608260						-30 to 117
EDCS-08100232	ILAlg-02-01, 00870	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					mulieres;  tituli sepulcrales;  tria nomina	] / Aemilia / Fabaria / v(ixit) a(nnos) XIIII / [	Aemilia Fabaria v a XIIII	Aemilia Fabaria vixit annos XIIII	lapis		36.364519	6.608260						
EDCS-08100233	ILAlg-02-01, 00873 = AntAfr-1973-133	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	-30	117	-30	117	mulieres;  tituli sepulcrales;  tria nomina	Aemili(a) / Quin/tilla / v(ixit) a(nnos) XX	Aemili Quintilla v a XX	Aemilia Quintilla vixit annos XX	lapis		36.364519	6.608260						-30 to 117
